word, freq
대한민국, 11
헌법, 69
유구, 1
하, 457
ㄴ, 234
역사, 1
와, 42
전통, 1
에, 328
빛나, 1
는, 281
우리, 3
대하, 19
국민, 69
은, 195
3, 24
·, 145
1, 28
운동, 3
으로, 57
건립, 1
되, 113
임시, 3
정부, 23
의, 532
법통, 1
과, 82
불의, 2
항거, 1
4, 14
19, 2
민주, 6
이념, 1
을, 232
계승, 2
고, 39
,, 101
조국, 3
개혁, 1
평화적, 4
통일, 9
사명, 2
입각, 2
여, 149
정의, 2
인도, 1
동포애, 1
로써, 5
민족, 3
단결, 1
공고히, 1
모든, 37
사회적, 5
폐습, 1
를, 135
타파, 1
며, 45
자율, 2
조화, 2
바탕, 1
자유, 21
민주적, 4
기본, 8
질서, 8
더욱, 1
확고히, 1
하여, 3
정치, 4
경제, 18
사회, 4
문화, 3
영역, 4
있, 99
어서, 9
각인, 1
기회, 4
균등, 4
히, 1
능력, 3
최고, 3
도로, 1
발휘, 1
게, 6
권리, 21
따르, 7
책임, 5
의무, 20
완수, 1
안, 15
생활, 8
향상, 4
기하, 1
밖, 1
항구적, 1
이, 192
세계, 1
평화, 5
인류, 1
공영, 1
이바지, 1
ㅁ, 6
으로써, 4
들, 2
자손, 1
안전, 11
행복, 2
영원히, 1
확보, 1
ㄹ, 141
것, 7
다짐, 1
면서, 1
1948, 1
년, 12
7, 4
월, 3
12, 3
일, 19
제정, 8
8, 4
차, 3
걸치, 1
어, 13
개정, 9
이제, 1
국회, 55
의결, 16
거치, 2
투표, 8
의하, 83
ㄴ다, 243
., 359
저, 155
장, 15
총, 1
강, 1
제, 20
조, 136
①, 78
공화국, 1
다, 88
②, 78
주권, 2
에게, 10
권력, 1
부터, 13
나오, 1
2, 19
요건, 1
법률, 121
로, 62
정하, 88
국가, 73
바, 37
재외, 1
보호, 15
질, 13
영토, 2
한반도, 1
그, 46
부속, 1
도, 8
서로, 1
지향, 2
정책, 14
수립, 7
이르, 14
추진, 1
5, 10
국제, 3
유지, 7
노력, 13
침략, 1
적, 2
전쟁, 1
부인, 1
국, 21
군은, 1
보장, 24
국토, 3
방위, 2
신성, 1
수행, 4
정치적, 5
중립성, 3
준수, 2
6, 10
체결, 4
공포, 11
조약, 11
일반적, 1
승인, 6
법규, 1
국내, 2
법과, 1
같, 4
효력, 9
가지, 32
외국인, 1
국제법, 1
지위, 3
가, 45
공무원, 17
전체, 1
봉사자, 1
신분, 3
정당, 14
설립, 1
복수, 1
정당제, 1
목적, 4
조직, 18
활동, 3
어야, 21
의사, 2
형성, 1
참여, 1
는데, 1
필요, 31
③, 45
받, 41
으며, 6
운영, 5
자금, 1
보조, 1
수, 88
④, 20
이나, 10
위배, 3
때, 55
재판소, 14
해산, 5
제소, 3
심판, 12
9, 4
전통문화, 1
발전, 5
창달, 2
여야, 31
10, 5
인간, 3
으로서, 5
존엄, 2
가치, 1
추구, 1
개인, 3
불가침, 1
기본적, 1
인권, 1
확인, 1
11, 3
법, 6
앞, 2
평등, 4
누구, 6
든지, 6
성별, 1
종교, 3
또는, 69
경제적, 2
문화적, 1
차별, 2
지, 57
아니하, 53
특수, 1
계급, 1
제도, 5
인정, 8
어떠하, 2
형태, 1
창설, 1
없, 30
훈장, 2
등, 6
영전, 3
자, 10
만, 1
특권, 1
이에, 5
신체, 3
고는, 12
체포, 9
구속, 8
압수, 3
수색, 3
심문, 1
적법, 2
절차, 9
처벌, 3
보안, 1
처분, 12
강제, 1
노역, 1
고문, 2
형, 4
사상, 6
자기, 2
불리, 3
진술, 5
강요, 1
당하, 9
아, 7
검사, 4
신청, 2
법관, 11
발부, 2
영장, 4
제시, 2
다만, 11
현행, 3
범인, 3
경우, 17
장기, 1
이상, 18
해당, 1
죄, 4
범하, 2
도피, 1
증거, 3
인멸, 1
염려, 2
사후, 1
청구, 6
즉시, 2
변호인, 4
조력, 2
형사, 6
피고인, 6
스스로, 1
구하, 1
붙이, 5
⑤, 11
이유, 7
있음, 1
고지, 1
자의, 2
가족, 2
일시, 1
장소, 1
지체, 6
없이, 8
통지, 1
⑥, 6
적부, 1
심사, 5
법원, 17
⑦, 3
자백, 2
폭행, 1
협박, 1
부당, 2
장기화, 1
기망, 1
기타, 26
방법, 4
아니, 11
라고, 1
정식, 1
재판, 15
유일, 1
유죄, 2
삼, 1
거나, 20
13, 2
행위시, 1
범죄, 4
구성, 8
행위, 8
소, 1
추, 1
동일, 1
거듭, 1
소급, 1
입법, 2
참정권, 1
제한, 7
재산권, 4
박탈, 1
친족, 1
인하, 6
불, 2
이익, 5
처우, 2
14, 2
거주, 1
이전, 2
15, 4
직업, 1
선택, 1
16, 2
주거, 3
침해, 6
나, 12
17, 2
사생활, 1
비밀, 4
18, 1
통신, 2
양심, 3
20, 3
국교, 1
분리, 1
21, 1
언론, 5
출판, 5
집회, 12
결사, 3
허, 1
검열, 1
허가, 1
방송, 1
시설, 2
기준, 2
신문, 1
기능, 1
기, 16
위하, 33
사항, 23
타인, 4
명예, 2
공중, 1
도덕, 1
윤리, 1
여서, 1
알, 1
니, 1
피해자, 2
대, 1
피해, 2
배상, 3
22, 1
학문, 1
예술, 1
저작자, 1
발명가, 1
과학, 2
기술자, 1
예술가, 1
23, 1
내용, 5
한계, 1
행사, 3
공공, 8
복리, 4
적합, 1
도록, 4
수용, 1
사용, 1
및, 25
보상, 4
정, 5
지급, 1
24, 1
선거권, 4
25, 2
공무, 1
담임, 1
권, 1
26, 1
기관, 10
문서, 3
청원, 3
27, 1
군인, 5
군무원, 3
에서, 24
중대, 5
군, 3
기밀, 1
초병, 2
초소, 2
유독, 2
음식물, 2
공급, 2
포로, 2
군용물, 1
관하, 53
중, 10
비상계엄, 2
선포, 4
제외, 5
군사, 10
신속, 1
상당, 1
한, 6
공개, 7
판결, 4
확정, 8
까, 1
무죄, 2
추정, 1
당해, 1
사건, 1
28, 1
피의자, 1
구금, 3
었, 2
더, 2
자가, 3
불기소, 1
29, 2
직무, 19
상, 8
불법, 2
손해, 2
단체, 16
자신, 1
면제, 2
경찰, 1
전투, 1
훈련, 1
집행, 4
관련, 2
외, 2
30, 5
생명, 1
구조, 2
31, 1
교육, 10
자녀, 1
적어도, 1
초등, 1
무상, 1
자주성, 1
전문, 1
성, 1
대학, 1
자율성, 1
평생, 2
진흥, 1
학교, 2
포함, 2
재정, 5
교원, 1
적인, 2
32, 1
근로, 9
근로자, 4
고용, 2
증진, 3
적정, 2
임금, 2
최저, 1
임금제, 1
시행, 12
조건, 4
주의, 1
원칙, 2
존엄성, 1
여자, 2
특별, 6
연소자, 1
유공자, 1
상이, 1
군경, 2
전몰, 1
유가족, 1
우선적, 1
부여받, 1
33, 1
자주적, 1
단결권, 2
교섭권, 2
행동권, 3
한하, 7
주요, 1
산업체, 1
종사, 1
34, 1
답, 1
복지, 2
권익, 1
노인과, 1
청소년, 1
복, 1
실시, 3
장애자, 1
질병, 1
노령, 1
사유, 3
재해, 1
예방, 1
위험, 1
35, 1
건강, 1
쾌적, 2
환경, 2
보전, 3
환경권, 1
주택, 1
개발, 6
통하, 3
36, 1
혼인, 1
양성, 1
기초, 1
성립, 1
모성, 1
보건, 1
37, 1
열거, 1
경시, 1
본질적, 1
38, 1
납세, 1
39, 1
국방, 2
병역, 1
이행, 2
40, 4
입법권, 1
속하, 5
41, 1
보통, 2
직접, 2
선거, 26
선출, 7
국회의원, 18
200, 1
인, 9
선거구, 1
비례, 1
대표제, 1
42, 1
임기, 18
43, 1
직, 2
겸하, 2
44, 1
회기, 6
동의, 9
전, 6
요구, 13
으면, 1
석방, 1
45, 1
행, 1
발언, 2
표결, 1
지지, 1
46, 1
청렴, 1
우선, 1
행하, 4
남용, 2
기업체, 2
계약, 3
재, 1
산상, 1
직위, 1
취득, 2
알선, 1
47, 1
회의, 42
매년, 2
회, 1
임시회, 2
대통령, 84
재적, 14
의원, 23
분, 8
정기, 1
100, 2
초과, 1
기간, 5
명시, 1
48, 1
의장, 6
인과, 2
부의장, 1
49, 1
규정, 6
과반수, 10
출석, 12
찬성, 12
가부, 1
동수, 1
부결, 1
보, 6
50, 1
하다, 2
공표, 1
51, 1
제출, 8
법률안, 7
의안, 1
못하, 4
폐기, 1
만료, 3
그러하, 2
52, 1
53, 1
이송, 2
이내, 6
이의, 2
항, 22
내, 2
서, 1
환부, 1
재의, 5
폐회, 1
또한, 2
일부, 1
또, 1
수정, 1
반, 1
수의, 1
전과, 1
면, 8
로서, 3
후, 6
날, 2
경과, 1
발생, 2
54, 1
예산안, 5
심의, 5
회계, 6
연도, 5
마다, 1
편성, 3
개시, 5
90, 2
까지, 10
새, 2
롭, 1
예산, 5
안이, 1
다음, 4
경비, 3
전년도, 1
준하, 2
설치, 5
지출, 4
이미, 1
사업, 1
계속, 3
55, 1
넘, 1
연한, 1
비로서, 1
얻, 18
예비비, 2
총액, 1
차기, 1
56, 1
변경, 3
가하, 1
추가, 1
경정, 1
57, 1
각, 4
항의, 1
금액, 1
증가, 1
비목, 1
58, 1
국채, 1
모집, 1
예산외, 1
부담, 4
려, 1
미리, 1
59, 1
조세, 1
종목, 1
세율, 1
60, 3
상호, 3
원조, 1
중요, 10
우호, 1
통상, 1
항해, 1
제약, 1
강화, 3
재정적, 1
지우, 1
비준, 2
동의권, 2
선전, 3
포고, 2
국군, 2
외국, 3
파견, 2
군대, 1
주류, 1
61, 1
국정, 7
감사, 7
특정, 1
사안, 1
조사, 2
서류, 1
증인, 1
증언, 1
의견, 3
62, 1
국무, 30
총리, 6
위원, 31
위원회, 7
처리, 6
상황, 2
질문, 1
응답, 1
국무총리, 13
답변, 2
하여금, 1
63, 1
해임, 3
건의, 3
발의, 4
64, 1
저촉, 4
범위, 16
내부, 4
규율, 4
규칙, 6
자격, 6
징계, 2
제명, 1
려면, 2
65, 1
행정, 15
각부, 9
재판관, 8
중앙, 3
관리, 13
감사원장, 2
탄핵, 11
소추, 5
결, 1
권한, 11
정지, 1
결정, 6
공직, 1
파면, 1
그치, 1
그러, 1
민, 1
절, 3
66, 1
원수, 1
대표, 1
독립, 2
계속성, 1
수호, 1
책무, 1
성실, 1
행정권, 1
수반, 1
67, 1
득표자, 1
과반, 1
수가, 1
다수, 1
표, 1
당선, 2
자로, 1
후보자, 2
득표수, 1
총수, 1
피, 1
선거일, 1
현재, 1
세, 1
달하, 1
68, 1
70, 2
내지, 1
후임자, 4
궐, 2
위, 4
당선자, 1
사망, 1
상실, 2
69, 1
취임, 1
