no,movie,content,rate
14335294,군함도,최악의 역사왜곡영화다 이거는,1
14335293,백발마녀전,"이 당시 홍콩 영화는 옥석이 심하게 뒤섞인 듯. 이 영화는 아주 고품질의 옥 중의 하나다. 듣던 대로, 장국영과 임청하의 비교적 높은 강도의 러브신도 이 영화의 장점 아닌 장점이랄까.",8
14335292,인크레더블 2,잭잭이가 신의한수~~핵겨움~~,8
14335291,곤지암,볼만 했음 분위기도 음산하고 으스스한게 괜찮았습니다,8
14335290,아수라,실화라고 미리 말했어야죠,10
14335289,싱 스트리트,멋지다 그들이 부러웠다,10
14335288,앤트맨과 와스프,생각보다 재밌었고 볼만했음,8
14335287,툼레이더,"인디아나존스 최후의성전 대놓고 표절했네. 근데 어째 그 옛날 인디아나존스보다 재미, 스토리, 박력 모두 부족하냐? 진짜 툼레이더 제목 하나 믿고 발로 만든듯.",1
14335286,에어,너무재미있고 농구광인 나에겐 최고의 영화!,9
14335285,마녀,재밋음ㅋㅋㅋㅋ 연기도 좋구,10
14335284,아수라,지금 이 타이밍에 개봉해서 상영중이었으면 레알 1000만각 영화인데,10
14335283,인크레더블 2,1편보다 재미지다. 액션이 시원시원하다.,7
14335282,위대한 쇼맨,"노래 하나하나가 주옥같고 영상미와 배우들의 군무,  연기도 좋아서 다 보고나니 가슴이 벅차올랐다 휴 잭맨, 잭에프론, 젠다이아,케알라 등 배우들 모두 인상깊었다",10
14335281,인크레더블 2,가족 모두 만족했어요 최고최고,10
14335280,초속5센티미터,"One more time, one more chance",10
14335279,인크레더블 2,기대한만큼 재미집니다,10
14335278,인크레더블 2,조카랑 같이 봤는데 너무 재미있어하네요~~저도 잼나게 봤구요,10
14335277,이별의 아침에 약속의 꽃을 장식하자,딸이랑 보러가서 제가 더 감동받은 영화였어요. 스토리 짜임새보다 영화가 주는 메세지가 더 깊었던 것 같아요.아름다운 풍경과 잔잔한 노래와 성우들의 목소리 연기도 좋았구요.,9
14335276,아수라,재개봉가즈아 이게실화ㄷㄷㄷㄷ,10
14335275,앤트맨과 와스프,그렇게 재미있지는 않지만 그런대로 볼만 합니다,8
14335274,인크레더블 2,6살 딸아이랑 아주 재미있게 봤어요~,10
14335273,이별의 아침에 약속의 꽃을 장식하자,이영화 보는 법을 알려드리겠습니다 심야때 혼자가서 편하게 보세요,9
14335272,독전,정말 재미있습니다. 결말이 조금 더 있으면 좋았을텐데....,8
14335271,아수라,대박! 안동출신 시장인 성남이 안남?,9
14335270,킬링 군터,포스터 나만 독전 같다고생각함?,2
14335269,인크레더블 2,다 좋은데  박일 목소리가 조금 어눌해졌네요... 세월은 못속이는듯..,8
14335268,아수라,ㄷㄷ 이것이...실화였다니,10
14335267,아수라,고맙다 이 도지사! 영화 재밋게 봤다,10
14335265,아수라,미래에서 왔습니다...캬....오졌다..,10
14335264,호텔 아르테미스,그냥... 비됴로 나올때 보세요..,6
14335263,앤트맨과 와스프,전편을 안봐서 재미없을줄 알았는데 재밌게 ㅤㅂㅘㅅ어요,10
14335262,아일라,넘 감동적입니다..!,10
14335261,트루스 오어 데어,우정 파괴게임. 결말이 참 신선했다.,7
14335260,인크레더블 2,아이들이 좋아라 합니다..,8
14335259,인크레더블 2,"가족애,스릴,코믹,액션등 골고루 갖춘 영화보다 나은 애니메이션...",10
14335258,마녀,주인공이 진짜 연기를 짱 잘하네 주인공 친구는 진짜 친구처럼 연기해서 귀엽고 경찰아찌도 귀엽고 그냥 겁나 무서운데 잔인한데 귀여운데 웃긴데 재밋음,10
14335257,마녀,어깨랑 목에 담오는줄 .. 긴장감 완전 쩔고 여름에 시원하게 딱 보기좋은  영화임,8
14335256,인크레더블 2,진짜 에드나랑 잭잭 넘 조음 !.! ㅋㅋㅋ 1편보다 훨씬 더 재밌다.,10
14335255,인크레더블 2,"와우 잼있음 스토리는 특별한건 없지만 돌아와줘서 넘조아,,,3편 나와야함",10
14335254,배틀쉽,"영화 자체는 8점으로 재미있으나 전범기를 모르는 쓰레기영화. 역사적 지식이 전혀 없으며, 더군다나 진주만 공습을 일으킨 원숭이 전범기를 미국 헐리우드에서 모르는게 참 답답함. 역사를 안배우면 미국도 오래 못간다.",1
14335253,당갈,이거는 왜 vod 안나오냐 또 보고싶다,10
14335252,인크레더블 2,재밌었어요처음엔 이상한 만화가 나와서 상영관 잘못들어온줄알고 당황했지만 5살 아들과도 잘 봤어요,10
14335251,마녀,잔인한 장면은 좀 있었습니다! 물론 리얼리티를 위해서는 필요한 요소입니다! 그래서 중간에 한두명씩 심적으로 힘드신 분들이 나가시는듯? 했어요(잔인한 장면바로직후..) 근데 액션이랑 속편을 꼭보고싶을정도로 좋았습니다!,10
14335250,마녀,한국액션영화의 신기원,10
14335249,챔피언,어쩜 이렇게 만들었데요 ㅠㅠ,3
14335248,아수라,<그알>보고 vod로 봤다.현실과 영화의 구분이 안된다.,10
14335247,마녀,와....참... 20OOO 최고 영회 어벤저스저리가라,10
14335246,김관장 대 김관장 대 김관장,내용도 은근히 좋았던 영화,10
14335245,인크레더블 2,픽사의  상상력!  넘 재미 있는  속편이었음,10
14335244,아수라,모티브 그영화 아수라 김성수감독 짱,10
14335243,인크레더블 2,인크레더블 2가 14년이나 걸렸군요. 1편이 요즘도 찾아보는 영화라 이리 오랜 시간이 지난줄 몰랐어요. 아이들과 너무 즐거운 시간 보냈어요.,10
14335242,아수라,이재명  조폭  맞고만 sns질이냐 ㅋㅋ,10
14335241,미드나잇 선,나를 행복하게 해주는 누군가와 함께 있는것.그와 보내는 매 순간은 너무나도 소중하다는것을 이렇게까지 잘 표현하는 영화는 또 없을 것 같다.,10
14335239,라이프,"결말이 좋았습니다. 중반부터 긴장감이 끊임없이 느껴지고, 잔인한 장면과 이야기 전개에 답답함과 스트레스를 받을 수도 있을 것 같네요ㅎ 저는 공포,스릴러물을 좋아해서 손에 땀을 쥐며 봤습니다",9
14335238,투건스,액션영화 재밌게 잘봤다 평점이 너무 낮네,10
14335237,아이 엠 샘,Love is about responsibility.,9
14335236,스카이스크래퍼,"????조나 쓰레기영화....내돈....내돈아까워서 어쩜.... 중국 싸구려 영화같은 느낌,,,.이딴걸 영화라고... 아 내돈!!!!ㅡㅡ",1
14335235,호텔 아르테미스,기대를 않하고 봐도...그냥... 그저 그랬슴 ㅠ,2
14335234,케이티,김갑수의 열연. 당시 김대중이 당선돼서 남북이 통일되고 그냥 한국이 망했으면 어땠을까 싶다.,5
14335233,캡틴 판타스틱,....와우....,10
14335232,인크레더블 2,"극장에서 4DX로 보고 왔는데 단편인 바오도, 본편인 인크레더블 2도 정말 훌륭한 작품이었습니다. 원작인 인크레더블 못지 않은 훌륭한 디즈니/픽사의 속편.",10
14335231,비거 스플래쉬,"요란하다. 그냥 요란하고, 예쁘고, 아름답다.",6
14335230,마녀,씹명작!!! 이런건 아닌데 잼썼음. 웹툰 노블레스보는 느낌. 귀공자 재밌었다,10
14335229,마녀,"영화 안본 사람 댓글 못달게 할 수없나? 라는 말 정말 공감합니다. 사운드, 액션, 감동 ... 정말 재밌었고 영화관 나오면서 보길 정말 잘했다 생각했습니다.",10
14335228,앤트맨과 와스프,재밌어용ㅋㅋㅋㅋ웃겨서 배꼽 빠지는줄,10
14335227,인크레더블 2,자녀들이 좋아합니다. 재밌네요,10
14335226,인크레더블 2,역시 픽사!!잼난다 첨에 바오 단편 애니 그림체 굿,8
14335225,앤트맨과 와스프,이번편도 너무너무재밌었습니다!!볼거리도 액션씬에 웃음코드도 스토리도 다 완벽하게 재밋었어요♡♡,10
14335224,이별의 아침에 약속의 꽃을 장식하자,조나 재미없네요. 돈주고보기에는 너무 아깝습니다,1
14335222,속닥속닥,진지하게 이거보다가 거울본내모습이더무섭다고느낌,1
14335221,인크레더블 2,5살 아들과의 데이트에 대만족한엄마왈~^^,10
14335220,아수라,너무 끔찍한 영화. 끔찍한 아수라장.,6
14335219,아수라,f리얼다큐 5추~~갑니다 ㅎㅎㅎㅎ,10
14335218,독전,조진웅의 영화~마무리는 엉뚱한듯..,8
14335217,아수라,한바탕 난리여서 방금 보고 댓글 남깁니다. 감독님은 확실히 이 일에대해 아셨던것같고 모티브로 삼아 영화만드셨네요.,10
14335216,아수라,최고의 영화다 이건 진짜다,10
14335215,아수라,정망 재미있게 봤었던 영화인데.. 이게 실화 였단.. 다시 찾아 봐야 할 것 같습니다.,10
14335214,탐정 : 더 비기닝,"권상우의 가족과의 일상도, 성동일과의 케미스트리도 억지스럽지 않고 웃겼다! 스토리도 느리지 않고 개연성 있게 잘 진행됐다ㅋㅋㅋ",10
14335213,마녀,이거 코믹영화 아닌가요?,1
